date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2014-01-14,Iran,France,1,1,CONCACAF Gold Cup,Doha,Qatar,True
2014-01-15,Sweden,Colombia,0,1,Friendly,Sweden City,Sweden,True
2014-01-16,Chile,Mexico,0,1,UEFA Nations League,Chile City,Chile,False
2014-01-21,Saudi Arabia,Germany,0,0,Friendly,Saudi Arabia City,Saudi Arabia,True
2014-01-22,Norway,Ecuador,0,0,CONCACAF Gold Cup,Norway City,Norway,True
2014-01-23,Peru,United States,0,0,Copa America,Doha,Qatar,False
2014-01-28,Australia,Netherlands,1,1,African Cup of Nations,Australia City,Australia,False
2014-01-29,Poland,England,1,2,UEFA Nations League,Doha,Qatar,True
2014-01-30,Paraguay,Argentina,0,1,FIFA World Cup qualification,Paraguay City,Paraguay,True
2014-02-04,Qatar,Belgium,1,0,FIFA World Cup qualification,Qatar City,Qatar,False
2014-02-05,Austria,Scotland,1,0,Friendly,Austria City,Austria,True
2014-02-06,Costa Rica,Brazil,0,1,African Cup of Nations,Costa Rica City,Costa Rica,False
2014-02-07,Canada,Uruguay,1,1,Friendly,Doha,Qatar,True
2014-02-11,Iraq,Croatia,0,2,FIFA World Cup qualification,Iraq City,Iraq,False
2014-02-12,Serbia,Wales,1,1,CONCACAF Gold Cup,Serbia City,Serbia,False
2014-02-14,Mexico,Colombia,0,2,CONCACAF Gold Cup,Mexico City,Mexico,False
2014-02-18,Uzbekistan,Spain,0,1,Friendly,Doha,Qatar,False
2014-02-19,Turkey,France,1,2,AFC Asian Cup,Turkey City,Turkey,True
2014-02-21,United States,Ecuador,1,1,CONCACAF Gold Cup,Los Angeles,United States,False
2014-02-25,Denmark,Portugal,0,1,AFC Asian Cup,Denmark City,Denmark,False
2014-02-26,Czech Republic,Germany,0,1,FIFA World Cup qualification,Czech Republic City,Czech Republic,True
2014-02-28,Argentina,England,0,2,AFC Asian Cup,Buenos Aires,Argentina,False
2014-03-04,Sweden,Italy,0,0,FIFA World Cup qualification,Sweden City,Sweden,False
2014-03-05,Chile,Netherlands,0,1,Copa America,Chile City,Chile,False
2014-03-07,Brazil,Scotland,2,0,UEFA Nations League,Rio de Janeiro,Brazil,False
2014-03-11,Norway,Switzerland,0,2,UEFA Nations League,Norway City,Norway,True
2014-03-12,Peru,Belgium,0,1,FIFA World Cup qualification,Peru City,Peru,False
2014-03-14,Uruguay,Wales,0,0,Friendly,Uruguay City,Uruguay,True
2014-03-18,Poland,Morocco,0,1,African Cup of Nations,Poland City,Poland,False
2014-03-19,Paraguay,Croatia,1,1,FIFA World Cup qualification,Paraguay City,Paraguay,True
2014-03-21,Colombia,France,0,0,African Cup of Nations,Colombia City,Colombia,False
2014-03-25,Austria,Senegal,1,2,Friendly,Doha,Qatar,False
2014-03-26,Costa Rica,Spain,0,3,Copa America,Costa Rica City,Costa Rica,False
2014-03-27,Canada,Portugal,0,1,FIFA World Cup qualification,Doha,Qatar,True
2014-03-28,Ecuador,Germany,0,1,CONCACAF Gold Cup,Doha,Qatar,False
2014-04-01,Serbia,Tunisia,0,1,AFC Asian Cup,Doha,Qatar,True
2014-04-03,Mexico,Italy,2,3,UEFA Nations League,Mexico City,Mexico,False
2014-04-04,England,Netherlands,0,0,CONCACAF Gold Cup,London,England,True
2014-04-08,Turkey,Egypt,0,1,Copa America,Turkey City,Turkey,False
2014-04-10,United States,Switzerland,1,1,AFC Asian Cup,Los Angeles,United States,False
2014-04-11,Scotland,Belgium,0,2,Copa America,Doha,Qatar,True
2014-04-15,Czech Republic,Nigeria,0,1,African Cup of Nations,Czech Republic City,Czech Republic,False
2014-04-17,Argentina,Morocco,2,1,Friendly,Buenos Aires,Argentina,True
2014-04-18,Wales,Croatia,1,1,African Cup of Nations,Wales City,Wales,True
2014-04-22,Chile,Ghana,0,1,CONCACAF Gold Cup,Chile City,Chile,False
2014-04-24,Brazil,Senegal,1,0,Copa America,Rio de Janeiro,Brazil,False
2014-04-25,France,Spain,1,0,Friendly,Paris,France,True
2014-04-29,Peru,Cameroon,0,1,FIFA World Cup qualification,Doha,Qatar,False
2014-05-01,Uruguay,Tunisia,2,1,CONCACAF Gold Cup,Uruguay City,Uruguay,False
2014-05-02,Germany,Portugal,1,1,Copa America,Germany City,Germany,False
2014-05-06,Paraguay,Algeria,0,2,Copa America,Paraguay City,Paraguay,False
2014-05-08,Colombia,Egypt,1,1,FIFA World Cup qualification,Colombia City,Colombia,False
2014-05-09,Netherlands,Italy,0,3,African Cup of Nations,Netherlands City,Netherlands,True
2014-05-13,Costa Rica,Japan,2,1,CONCACAF Gold Cup,Costa Rica City,Costa Rica,False
2014-05-14,Canada,South Korea,1,1,AFC Asian Cup,Canada City,Canada,False
2014-05-15,Ecuador,Nigeria,2,0,Copa America,Doha,Qatar,False
2014-05-16,Belgium,Switzerland,1,0,African Cup of Nations,Doha,Qatar,True
2014-05-21,Mexico,Iran,0,1,FIFA World Cup qualification,Mexico City,Mexico,False
2014-05-22,England,Ghana,2,0,African Cup of Nations,London,England,False
2014-05-23,Croatia,Morocco,2,0,African Cup of Nations,Croatia City,Croatia,True
2014-05-28,United States,Saudi Arabia,1,1,UEFA Nations League,Los Angeles,United States,False
2014-05-29,Scotland,Cameroon,0,0,Friendly,Doha,Qatar,False
2014-05-30,Spain,Senegal,1,0,AFC Asian Cup,Doha,Qatar,False
2014-06-04,Argentina,Australia,1,0,UEFA Nations League,Buenos Aires,Argentina,False
2014-06-05,Wales,Algeria,1,1,AFC Asian Cup,Wales City,Wales,False
2014-06-06,Portugal,Tunisia,3,0,CONCACAF Gold Cup,Portugal City,Portugal,True
2014-06-11,Brazil,Qatar,2,1,African Cup of Nations,Rio de Janeiro,Brazil,False
2014-06-12,France,Japan,0,1,FIFA World Cup qualification,Paris,France,False
2014-06-13,Italy,Egypt,1,0,Friendly,Doha,Qatar,False
2014-06-18,Uruguay,Iraq,1,0,UEFA Nations League,Uruguay City,Uruguay,False
2014-06-19,Germany,South Korea,0,2,UEFA Nations League,Germany City,Germany,False
2014-06-20,Switzerland,Nigeria,2,1,CONCACAF Gold Cup,Switzerland City,Switzerland,False
2014-06-25,Colombia,Uzbekistan,1,0,FIFA World Cup qualification,Colombia City,Colombia,False
2014-06-26,Netherlands,Iran,2,1,CONCACAF Gold Cup,Netherlands City,Netherlands,True
2014-06-27,Morocco,Ghana,2,2,UEFA Nations League,Morocco City,Morocco,False
2014-07-02,Ecuador,Denmark,1,0,FIFA World Cup qualification,Ecuador City,Ecuador,False
2014-07-03,Belgium,Saudi Arabia,1,0,UEFA Nations League,Belgium City,Belgium,False
2014-07-04,Senegal,Cameroon,3,2,Friendly,Senegal City,Senegal,False
2014-07-09,England,Sweden,0,0,Friendly,London,England,False
2014-07-10,Croatia,Australia,1,2,FIFA World Cup qualification,Croatia City,Croatia,False
2014-07-11,Tunisia,Algeria,1,0,AFC Asian Cup,Tunisia City,Tunisia,True
2014-07-16,Scotland,Norway,1,1,UEFA Nations League,Doha,Qatar,True
2014-07-17,Spain,Qatar,3,0,Friendly,Spain City,Spain,False
2014-07-18,Egypt,Japan,1,2,Copa America,Egypt City,Egypt,False
2014-07-23,Wales,Poland,1,0,AFC Asian Cup,Doha,Qatar,False
2014-07-24,Portugal,Iraq,2,0,AFC Asian Cup,Portugal City,Portugal,False
2014-07-25,Nigeria,South Korea,2,0,Friendly,Nigeria City,Nigeria,False
2014-07-30,France,Austria,5,1,CONCACAF Gold Cup,Paris,France,True
2014-07-31,Italy,Uzbekistan,2,0,UEFA Nations League,Italy City,Italy,True
2014-08-01,Ghana,Iran,1,0,AFC Asian Cup,Ghana City,Ghana,False
2014-08-06,Germany,Serbia,1,0,CONCACAF Gold Cup,Germany City,Germany,False
2014-08-07,Switzerland,Denmark,1,0,Copa America,Switzerland City,Switzerland,False
2014-08-08,Cameroon,Saudi Arabia,1,0,CONCACAF Gold Cup,Cameroon City,Cameroon,False
2014-08-13,Netherlands,Turkey,2,0,FIFA World Cup qualification,Netherlands City,Netherlands,True
2014-08-14,Morocco,Sweden,2,0,UEFA Nations League,Morocco City,Morocco,True
2014-08-15,Algeria,Australia,0,2,CONCACAF Gold Cup,Algeria City,Algeria,False
2014-08-20,Belgium,Czech Republic,1,1,UEFA Nations League,Belgium City,Belgium,False
2014-08-21,Senegal,Norway,0,0,CONCACAF Gold Cup,Senegal City,Senegal,False
2014-08-22,Japan,Qatar,1,1,FIFA World Cup qualification,Japan City,Japan,False
2014-08-27,Croatia,Chile,2,0,African Cup of Nations,Croatia City,Croatia,False
2014-08-28,Tunisia,Poland,3,0,African Cup of Nations,Tunisia City,Tunisia,False
2014-08-29,South Korea,Iraq,1,0,African Cup of Nations,South Korea City,South Korea,False
2014-09-03,Spain,Peru,2,1,UEFA Nations League,Spain City,Spain,True
2014-09-04,Egypt,Austria,0,2,FIFA World Cup qualification,Egypt City,Egypt,True
2014-09-05,Iran,Uzbekistan,1,0,Copa America,Doha,Qatar,False
2014-09-10,Portugal,Paraguay,4,1,AFC Asian Cup,Portugal City,Portugal,False
2014-09-11,Nigeria,Serbia,0,0,CONCACAF Gold Cup,Nigeria City,Nigeria,False
2014-09-12,Saudi Arabia,Denmark,1,1,AFC Asian Cup,Doha,Qatar,False
2014-09-17,Italy,Costa Rica,2,0,Copa America,Italy City,Italy,False
2014-09-18,Ghana,Turkey,0,1,CONCACAF Gold Cup,Ghana City,Ghana,False
2014-09-19,Australia,Sweden,0,0,AFC Asian Cup,Doha,Qatar,False
2014-09-24,Switzerland,Canada,2,1,FIFA World Cup qualification,Switzerland City,Switzerland,True
2014-09-25,Cameroon,Czech Republic,1,2,Copa America,Cameroon City,Cameroon,False
2014-09-26,Qatar,Norway,1,0,African Cup of Nations,Qatar City,Qatar,False
2014-10-01,Morocco,Mexico,0,1,AFC Asian Cup,Morocco City,Morocco,False
2014-10-02,Algeria,Chile,0,1,Friendly,Algeria City,Algeria,False
2014-10-03,Iraq,Poland,0,1,Friendly,Iraq City,Iraq,False
2014-10-08,Senegal,United States,0,1,UEFA Nations League,Doha,Qatar,False
2014-10-09,Japan,Peru,0,0,CONCACAF Gold Cup,Japan City,Japan,False
2014-10-10,Uzbekistan,Austria,0,0,UEFA Nations League,Doha,Qatar,False
2014-10-15,Tunisia,Argentina,0,2,Copa America,Tunisia City,Tunisia,False
2014-10-16,South Korea,Paraguay,0,0,AFC Asian Cup,South Korea City,South Korea,False
2014-10-17,Denmark,Serbia,1,0,AFC Asian Cup,Denmark City,Denmark,False
2014-10-22,Egypt,Brazil,0,1,Copa America,Egypt City,Egypt,True
2014-10-23,Iran,Costa Rica,1,1,UEFA Nations League,Iran City,Iran,False
2014-10-24,Sweden,Turkey,0,1,AFC Asian Cup,Sweden City,Sweden,True
2014-10-29,Nigeria,Uruguay,1,1,Copa America,Nigeria City,Nigeria,False
2014-10-30,Saudi Arabia,Canada,1,1,CONCACAF Gold Cup,Doha,Qatar,True
2014-10-31,Norway,Czech Republic,1,2,Friendly,Norway City,Norway,False
2014-11-05,Ghana,Colombia,1,2,AFC Asian Cup,Ghana City,Ghana,True
2014-11-06,Australia,Mexico,1,1,UEFA Nations League,Australia City,Australia,False
2014-11-07,Poland,Chile,0,0,Copa America,Poland City,Poland,False
2014-11-12,Cameroon,Ecuador,1,0,Friendly,Cameroon City,Cameroon,False
2014-11-13,Qatar,United States,2,1,AFC Asian Cup,Qatar City,Qatar,False
2014-11-14,Austria,Peru,0,1,Copa America,Austria City,Austria,False
2014-11-19,Algeria,England,1,2,AFC Asian Cup,Doha,Qatar,True
2014-11-20,Iraq,Argentina,0,1,Copa America,Iraq City,Iraq,False
2014-11-21,Serbia,Paraguay,1,1,AFC Asian Cup,Serbia City,Serbia,False
2014-11-26,Japan,Scotland,2,0,Copa America,Japan City,Japan,False
2014-11-27,Uzbekistan,Brazil,0,3,UEFA Nations League,Uzbekistan City,Uzbekistan,False
2014-11-28,Turkey,Costa Rica,3,1,African Cup of Nations,Turkey City,Turkey,False
2014-12-03,South Korea,Wales,0,1,African Cup of Nations,South Korea City,South Korea,False
2014-12-04,Denmark,Uruguay,0,2,Friendly,Denmark City,Denmark,False
2014-12-05,Czech Republic,Canada,1,2,CONCACAF Gold Cup,Czech Republic City,Czech Republic,False
2015-01-14,Iran,Germany,0,1,AFC Asian Cup,Iran City,Iran,True
2015-01-15,Sweden,Ecuador,2,1,UEFA Nations League,Sweden City,Sweden,False
2015-01-16,Chile,United States,0,0,African Cup of Nations,Chile City,Chile,False
2015-01-21,Saudi Arabia,Netherlands,0,2,UEFA Nations League,Saudi Arabia City,Saudi Arabia,False
2015-01-22,Norway,England,1,2,Copa America,Doha,Qatar,True
2015-01-23,Peru,Argentina,0,3,African Cup of Nations,Doha,Qatar,False
2015-01-28,Australia,Belgium,0,1,Friendly,Australia City,Australia,True
2015-01-29,Poland,Scotland,0,0,CONCACAF Gold Cup,Poland City,Poland,False
2015-01-30,Paraguay,Brazil,1,3,African Cup of Nations,Paraguay City,Paraguay,True
2015-02-04,Qatar,Croatia,0,2,Friendly,Qatar City,Qatar,False
2015-02-05,Austria,Wales,2,1,FIFA World Cup qualification,Doha,Qatar,False
2015-02-06,Costa Rica,Uruguay,1,1,AFC Asian Cup,Costa Rica City,Costa Rica,True
2015-02-07,Canada,Colombia,1,2,UEFA Nations League,Canada City,Canada,False
2015-02-11,Iraq,Spain,2,2,Copa America,Iraq City,Iraq,True
2015-02-12,Serbia,France,2,1,UEFA Nations League,Serbia City,Serbia,False
2015-02-14,Mexico,Ecuador,0,0,Friendly,Mexico City,Mexico,True
2015-02-18,Uzbekistan,Portugal,1,2,CONCACAF Gold Cup,Uzbekistan City,Uzbekistan,True
2015-02-19,Turkey,Germany,0,1,Copa America,Turkey City,Turkey,False
